Date,Open,High,Low,Close
07/19/2024,"8,013.70","8,013.70","7,923.60","7,971.60"
07/18/2024,"8,056.70","8,070.40","8,026.20","8,036.50"
07/17/2024,"8,002.50","8,083.70","8,001.70","8,057.90"
07/16/2024,"8,007.10","8,018.00","7,996.90","7,999.30"
07/15/2024,"7,970.70","8,037.30","7,970.50","8,017.60"
7/12/2024,"7,889.00","7,969.10","7,889.00","7,959.30"
7/11/2024,"7,827.90","7,902.60","7,827.90","7,889.60"
7/10/2024,"7,822.40","7,822.40","7,782.00","7,816.80"
7/9/2024,"7,771.50","7,832.30","7,770.40","7,829.70"
7/8/2024,"7,817.90","7,818.90","7,759.50","7,763.20"
7/5/2024,"7,826.70","7,830.90","7,807.70","7,822.30"
7/4/2024,"7,758.00","7,835.70","7,758.00","7,831.80"
7/3/2024,"7,723.00","7,744.10","7,720.70","7,739.90"
7/2/2024,"7,751.10","7,754.40","7,702.50","7,718.20"
7/1/2024,"7,767.10","7,767.10","7,710.30","7,750.70"
06/28/2024,"7,754.90","7,819.00","7,754.90","7,767.50"
06/27/2024,"7,769.50","7,769.50","7,654.20","7,759.60"
06/26/2024,"7,827.30","7,828.00","7,750.50","7,783.00"
06/25/2024,"7,737.00","7,838.80","7,737.00","7,838.80"
06/24/2024,"7,795.50","7,796.10","7,730.50","7,733.70"
06/21/2024,"7,772.70","7,796.90","7,753.90","7,796.00"
06/20/2024,"7,769.20","7,772.00","7,753.40","7,769.40"
06/19/2024,"7,775.00","7,787.50","7,755.20","7,769.70"
06/18/2024,"7,702.80","7,780.40","7,702.10","7,778.10"
06/17/2024,"7,721.50","7,730.10","7,698.20","7,700.30"
06/14/2024,"7,750.30","7,751.80","7,718.00","7,724.30"
06/13/2024,"7,714.00","7,777.80","7,714.00","7,749.70"
6/12/2024,"7,741.40","7,741.40","7,699.20","7,715.50"
6/11/2024,"7,849.40","7,849.40","7,735.10","7,755.40"
6/7/2024,"7,833.10","7,861.80","7,832.20","7,860.00"
6/6/2024,"7,778.20","7,837.80","7,777.60","7,821.80"
6/5/2024,"7,728.60","7,774.30","7,728.60","7,769.00"
6/4/2024,"7,755.70","7,768.20","7,737.10","7,737.10"
6/3/2024,"7,717.10","7,779.00","7,717.10","7,761.00"
05/31/2024,"7,634.70","7,701.70","7,634.70","7,701.70"
05/30/2024,"7,661.20","7,661.60","7,601.50","7,628.20"
05/29/2024,"7,759.60","7,761.40","7,660.90","7,665.60"
05/28/2024,"7,788.80","7,801.40","7,765.70","7,766.70"
05/27/2024,"7,734.30","7,793.20","7,734.30","7,788.30"
05/24/2024,"7,798.20","7,798.40","7,716.90","7,727.60"
05/23/2024,"7,814.90","7,818.40","7,764.60","7,811.80"
05/22/2024,"7,855.00","7,879.60","7,848.10","7,848.10"
05/21/2024,"7,868.40","7,870.20","7,841.50","7,851.70"
05/20/2024,"7,836.60","7,873.80","7,835.20","7,863.70"
05/17/2024,"7,884.60","7,885.10","7,810.30","7,814.40"
05/16/2024,"7,779.00","7,900.20","7,777.00","7,881.30"
05/15/2024,"7,747.10","7,784.80","7,747.10","7,753.70"
05/14/2024,"7,745.30","7,746.10","7,714.60","7,726.80"
05/13/2024,"7,745.70","7,750.00","7,721.50","7,750.00"
5/10/2024,"7,728.20","7,768.50","7,728.20","7,749.00"
5/9/2024,"7,804.30","7,804.30","7,715.20","7,721.60"
5/8/2024,"7,796.20","7,814.90","7,788.10","7,804.50"
5/7/2024,"7,685.70","7,793.30","7,684.90","7,793.30"
5/6/2024,"7,638.10","7,684.10","7,638.10","7,682.40"
5/3/2024,"7,595.30","7,640.20","7,594.50","7,629.00"
5/2/2024,"7,570.10","7,616.00","7,570.10","7,587.00"
5/1/2024,"7,646.40","7,647.20","7,556.50","7,569.90"
04/30/2024,"7,639.50","7,664.10","7,623.40","7,664.10"
04/29/2024,"7,580.20","7,646.40","7,579.30","7,637.40"
04/26/2024,"7,645.30","7,647.50","7,568.10","7,575.90"
04/24/2024,"7,683.20","7,724.00","7,679.70","7,683.00"
04/23/2024,"7,650.30","7,694.90","7,648.50","7,683.50"
04/22/2024,"7,581.60","7,678.60","7,581.40","7,649.20"
04/19/2024,"7,631.40","7,632.30","7,492.60","7,567.30"
04/18/2024,"7,616.10","7,656.80","7,611.30","7,642.10"
04/17/2024,"7,608.80","7,636.60","7,596.70","7,605.60"
04/16/2024,"7,744.70","7,745.90","7,585.80","7,612.50"
04/15/2024,"7,786.00","7,788.90","7,735.20","7,752.50"
4/12/2024,"7,801.40","7,802.80","7,765.30","7,788.10"
4/11/2024,"7,839.50","7,839.50","7,752.10","7,813.60"
4/10/2024,"7,831.70","7,869.30","7,831.70","7,848.50"
4/9/2024,"7,811.00","7,835.10","7,811.00","7,824.20"
4/8/2024,"7,771.00","7,801.50","7,769.40","7,789.10"
4/5/2024,"7,800.60","7,800.60","7,741.50","7,773.30"
4/4/2024,"7,788.60","7,834.40","7,786.30","7,817.30"
4/3/2024,"7,895.70","7,895.70","7,770.90","7,782.50"
4/2/2024,"7,905.30","7,910.50","7,867.80","7,887.90"
03/28/2024,"7,836.90","7,901.20","7,834.80","7,896.90"
03/27/2024,"7,771.80","7,819.60","7,771.80","7,819.60"
03/26/2024,"7,807.70","7,812.30","7,775.70","7,780.20"
03/25/2024,"7,775.90","7,844.40","7,774.70","7,811.90"
03/22/2024,"7,784.90","7,786.80","7,738.60","7,770.60"
03/21/2024,"7,706.90","7,787.20","7,706.90","7,782.00"
03/20/2024,"7,702.30","7,738.10","7,694.60","7,695.80"
03/19/2024,"7,682.50","7,708.00","7,666.90","7,703.20"
03/18/2024,"7,673.20","7,679.50","7,642.00","7,675.80"
03/15/2024,"7,695.00","7,695.80","7,591.40","7,670.30"
03/14/2024,"7,744.20","7,744.20","7,700.40","7,713.60"
03/13/2024,"7,710.60","7,741.80","7,710.60","7,729.40"
3/12/2024,"7,701.20","7,736.70","7,701.20","7,712.50"
3/11/2024,"7,829.20","7,829.90","7,696.80","7,704.20"
3/8/2024,"7,768.00","7,853.10","7,768.00","7,847.00"
3/7/2024,"7,719.50","7,767.10","7,719.50","7,763.70"
3/6/2024,"7,717.60","7,738.20","7,695.20","7,733.50"
3/5/2024,"7,741.50","7,752.20","7,711.70","7,724.20"
3/4/2024,"7,739.60","7,769.10","7,726.40","7,735.80"
3/1/2024,"7,702.40","7,745.60","7,696.50","7,745.60"
02/29/2024,"7,660.00","7,703.80","7,631.00","7,698.70"
02/28/2024,"7,669.40","7,682.30","7,637.60","7,660.40"
02/27/2024,"7,645.50","7,664.80","7,610.80","7,663.00"
02/26/2024,"7,640.50","7,683.30","7,636.50","7,652.80"
02/23/2024,"7,624.10","7,661.20","7,623.60","7,643.60"
02/22/2024,"7,604.70","7,616.40","7,584.70","7,611.20"
02/21/2024,"7,637.60","7,637.90","7,585.60","7,608.40"
02/20/2024,"7,661.30","7,670.90","7,633.80","7,659.00"
02/19/2024,"7,665.90","7,683.30","7,653.20","7,665.10"
02/16/2024,"7,621.10","7,681.10","7,619.40","7,658.30"
02/15/2024,"7,538.70","7,621.30","7,538.70","7,605.70"
02/14/2024,"7,581.10","7,581.40","7,489.40","7,547.70"
02/13/2024,"7,620.90","7,632.70","7,599.00","7,603.60"
2/12/2024,"7,644.30","7,644.30","7,609.40","7,614.90"
2/9/2024,"7,639.30","7,655.90","7,628.50","7,644.80"
2/8/2024,"7,624.70","7,662.40","7,619.70","7,639.20"
2/7/2024,"7,588.90","7,645.00","7,588.90","7,615.80"
2/6/2024,"7,613.60","7,614.40","7,542.00","7,581.60"
2/5/2024,"7,680.00","7,681.20","7,593.30","7,625.90"
2/2/2024,"7,599.60","7,703.60","7,599.40","7,699.40"
2/1/2024,"7,673.80","7,673.80","7,579.50","7,588.20"
01/31/2024,"7,595.80","7,682.30","7,570.20","7,680.70"
01/30/2024,"7,580.20","7,630.50","7,579.90","7,600.20"
01/29/2024,"7,544.40","7,583.60","7,544.30","7,578.40"
01/25/2024,"7,529.20","7,558.80","7,524.00","7,555.40"
01/24/2024,"7,526.60","7,536.40","7,498.90","7,519.20"
01/23/2024,"7,476.70","7,530.30","7,476.70","7,514.90"
01/22/2024,"7,428.70","7,483.00","7,428.30","7,476.60"
01/19/2024,"7,357.50","7,446.80","7,357.50","7,421.20"
01/18/2024,"7,371.50","7,372.10","7,322.00","7,346.50"
01/17/2024,"7,418.80","7,418.90","7,372.60","7,393.10"
01/16/2024,"7,485.90","7,487.70","7,402.30","7,414.80"
01/15/2024,"7,495.30","7,505.10","7,477.60","7,496.30"
1/12/2024,"7,496.30","7,504.10","7,474.30","7,498.30"
1/11/2024,"7,470.90","7,517.20","7,467.20","7,506.00"
1/10/2024,"7,507.30","7,514.20","7,465.20","7,468.50"
1/9/2024,"7,464.70","7,541.90","7,464.70","7,520.50"
1/8/2024,"7,489.80","7,504.20","7,441.80","7,451.50"
1/5/2024,"7,492.50","7,514.30","7,488.20","7,489.10"
1/4/2024,"7,529.90","7,529.90","7,481.10","7,494.10"
1/3/2024,"7,618.50","7,618.50","7,521.90","7,523.20"
1/2/2024,"7,586.10","7,632.70","7,584.50","7,627.80"
12/29/2023,"7,605.10","7,605.10","7,576.70","7,590.80"
12/28/2023,"7,564.40","7,614.30","7,564.40","7,614.30"
12/27/2023,"7,509.30","7,593.40","7,509.30","7,561.20"
12/22/2023,"7,507.20","7,521.90","7,497.00","7,501.60"
12/21/2023,"7,527.10","7,537.30","7,486.90","7,504.10"
12/20/2023,"7,495.60","7,552.30","7,494.40","7,537.90"
12/19/2023,"7,425.70","7,494.10","7,425.10","7,489.10"
12/18/2023,"7,436.90","7,444.00","7,406.40","7,426.40"
12/15/2023,"7,391.40","7,462.20","7,391.40","7,442.70"
12/14/2023,"7,272.30","7,380.20","7,272.30","7,377.90"
12/13/2023,"7,235.60","7,271.10","7,234.30","7,257.80"
12/12/2023,"7,197.70","7,241.30","7,196.30","7,235.30"
12/11/2023,"7,194.20","7,226.80","7,189.90","7,199.00"
12/8/2023,"7,175.80","7,194.90","7,143.30","7,194.90"
12/7/2023,"7,167.70","7,178.90","7,150.40","7,173.30"
12/6/2023,"7,064.70","7,194.00","7,064.70","7,178.40"
12/5/2023,"7,110.80","7,110.80","7,041.10","7,061.60"
12/4/2023,"7,096.50","7,167.60","7,096.50","7,124.70"
12/1/2023,"7,078.60","7,079.90","7,041.40","7,073.20"
11/30/2023,"7,033.60","7,087.30","7,022.60","7,087.30"
11/29/2023,"7,014.10","7,056.60","7,014.10","7,035.30"
11/28/2023,"6,987.00","7,049.20","6,985.50","7,015.20"
11/27/2023,"7,036.70","7,054.30","6,987.60","6,987.60"
11/24/2023,"7,029.10","7,064.80","7,028.20","7,040.80"
11/23/2023,"7,064.10","7,065.10","7,026.90","7,029.20"
11/22/2023,"7,081.50","7,090.40","7,061.90","7,073.40"
11/21/2023,"7,063.50","7,089.60","7,062.40","7,078.20"
11/20/2023,"7,052.60","7,072.40","7,048.50","7,058.40"
11/17/2023,"7,058.20","7,062.30","7,036.50","7,049.40"
11/16/2023,"7,098.10","7,109.80","7,050.10","7,058.40"
11/15/2023,"7,034.70","7,125.60","7,033.00","7,105.90"
11/14/2023,"6,958.30","7,013.00","6,958.30","7,006.70"
11/13/2023,"6,979.30","6,984.00","6,948.80","6,948.80"
11/10/2023,"7,017.60","7,018.20","6,964.20","6,976.50"
11/9/2023,"7,000.10","7,045.50","7,000.10","7,014.90"
11/8/2023,"6,967.40","6,999.50","6,967.40","6,995.40"
11/7/2023,"6,997.70","7,001.30","6,951.90","6,977.10"
11/6/2023,"6,978.00","7,009.10","6,978.00","6,997.40"
11/3/2023,"6,916.60","6,989.40","6,915.90","6,978.20"
11/2/2023,"6,852.40","6,928.50","6,852.00","6,899.70"
11/1/2023,"6,788.30","6,838.30","6,788.10","6,838.30"
10/31/2023,"6,783.80","6,816.40","6,770.40","6,780.70"
10/30/2023,"6,829.50","6,829.50","6,751.30","6,772.90"
10/27/2023,"6,809.70","6,845.70","6,809.70","6,826.90"
10/26/2023,"6,851.30","6,851.30","6,777.40","6,812.30"
10/25/2023,"6,878.50","6,897.40","6,832.20","6,854.30"
10/24/2023,"6,847.70","6,878.50","6,837.70","6,856.90"
10/23/2023,"6,880.70","6,881.50","6,831.30","6,844.10"
10/20/2023,"6,960.90","6,961.30","6,878.30","6,900.70"
10/19/2023,"7,052.80","7,052.80","6,952.30","6,981.60"
10/18/2023,"7,060.40","7,078.50","7,044.60","7,077.60"
10/17/2023,"7,042.60","7,100.30","7,042.60","7,056.10"
10/16/2023,"7,048.80","7,050.20","7,022.60","7,026.50"
10/13/2023,"7,084.10","7,084.10","7,016.80","7,051.00"
10/12/2023,"7,094.00","7,112.70","7,083.20","7,091.00"
10/11/2023,"7,052.40","7,092.70","7,052.40","7,088.40"
10/10/2023,"6,972.70","7,058.40","6,971.70","7,040.60"
10/9/2023,"6,966.20","6,998.90","6,963.50","6,970.20"
10/6/2023,"6,930.70","6,972.90","6,922.60","6,954.20"
10/5/2023,"6,889.40","6,935.00","6,885.50","6,925.50"
10/4/2023,"6,931.20","6,931.40","6,871.00","6,890.20"
10/3/2023,"7,010.10","7,010.10","6,908.30","6,943.40"
10/2/2023,"7,046.00","7,051.50","7,014.90","7,033.20"
09/29/2023,"7,043.60","7,065.30","7,036.90","7,048.60"
09/28/2023,"7,030.50","7,052.70","7,003.40","7,024.80"
09/27/2023,"7,033.00","7,034.70","7,002.80","7,030.30"
09/26/2023,"7,067.00","7,070.10","7,023.80","7,038.20"
09/25/2023,"7,065.00","7,076.50","7,022.90","7,076.50"
